Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шведченко,Оксана,Дмитрівна,Жіноча,16.09.1970,Мінералог,селище Білогірськ,"сквер Керченський 1-й, буд. 7 кв. 667, Долина, 89673",+380 52 306-11-73,tsiupaheorhii@example.com
Дрозденко,Михайло,Андрійович,Чоловіча,16.03.1945,Музикознавець,місто Підгородне,"шосе Офіцерський 1-й, буд. 981, Долинська, 92514",+380 10 317 21 46,jzakharchenko@example.org
Уманець,Петро,Олександрович,Чоловіча,15.07.1944,Агроном,селище Вільногірськ,"вулиця Шполянська, буд. 803 кв. 34, Каховка, 80419",036 460 50 65,niashchuk@example.com
Панчук,Василь,Олександрович,Чоловіча,23.06.1939,Антрополог,місто Узин,"проспект Відважних, буд. 339, Мирноград, 04679",744-57-44,miroshnychenkodan@example.org
Рубан,Тетяна,Андріївна,Жіноча,13.10.1997,Електрослюсар,хутір Кролевець,"проспект Вільгельма Габсбурга, буд. 68 кв. 7, Гайворон, 16756",+380 46 691 09 09,teodor01@example.com
Забашта,Олена,Михайлівна,Жіноча,26.03.1963,Медик,хутір Богодухів,"сквер Жасминна, буд. 141, Єнакієве, 85151",+380 23 872-68-36,bohdannakarmaliuk@example.org
Філіпенко,Анна,Василівна,Жіноча,06.06.1997,Пілот,хутір Білогірськ,"проспект Олександра Тимошенка, буд. 428 кв. 86, Білгород-Дністровський, 81294",+380 48 370-67-75,qlytvynenko@example.net
Таран,Василь,Сергійович,Чоловіча,26.08.2004,Клавішник,селище Кам'янець-Подільський,"парк Академіка Богатського, буд. 4 кв. 1, Вижниця, 76155",+380 (91) 370-31-81,barannykprokhir@example.net
Ющенко,Петро,Андрійович,Чоловіча,14.06.1984,Географ,хутір Світлодарськ,"провулок Коцюбинського, буд. 5, Лиман, 71131",050 367 50 28,serhiibabarychenko@example.com
Затула,Олександр,Сергійович,Чоловіча,06.01.2003,Гірничий інженер,селище Бобринець,"сквер Депутатський, буд. 69, Бахмач, 86823",260-19-82,rudkoolha@example.net
Бгиденко,Андрій,Петрович,Чоловіча,06.03.1951,Дизайнер,хутір Ірпінь,"вулиця Кредитний, буд. 31, Хотин, 87769",+380 (15) 140-48-55,tetiana06@example.org
Усик,Юлія,Андріївна,Жіноча,06.09.1978,Патологоанатом,село Святогірськ,"провулок Зелена гірка, буд. 7 кв. 3, Білозерське, 09490",339-27-28,mariananikoliuk@example.net
Скоробогатько,Олександр,Іванович,Чоловіча,26.12.1990,Мірошник,хутір Пустомити,"провулок Молоді, буд. 5 кв. 22, Жовті Води, 51404",867 39 99,devdiuknestor@example.com
Затовканюк,Анна,Олександрівна,Жіноча,09.12.1951,Кінорежисер,хутір Шахтарське,"шосе Шоста, буд. 095, Авдіївка, 97995",+380 05 910-41-22,cherinkoteodor@example.com
Деркач,Петро,Петрович,Чоловіча,04.10.1939,Конструктор,хутір Рава-Руська,"парк Деревообробний 5-й, буд. 0 кв. 6, Бурштин, 97320",911-53-43,havryshmilena@example.net
Данько,Іван,Андрійович,Чоловіча,21.07.1971,Клавішник,селище Заводське,"узвіз Тиха, буд. 699 кв. 838, Зугрес, 03691",+380 33 818-02-19,fandriievych@example.org
Опанасенко,Андрій,Іванович,Чоловіча,06.04.1987,Провізор,місто Чистякове,"провулок Аеродромний 3-й, буд. 7 кв. 495, Васильків, 98498",004 865 42 49,kyrylenkoedyta@example.net
Слюсар,Оксана,Сергіївна,Жіноча,10.03.1987,Публіцист,місто Чортків,"узвіз Приморський, буд. 70 кв. 3, Красноперекопськ, 61378",+380 86 494-89-57,albinaholoborodko@example.org
Шутько,Віктор,Дмитрович,Чоловіча,01.11.1976,Реставратор,селище Костянтинівка,"площа Садова 2-га, буд. 80, Тернопіль, 21842",473-40-48,kandroshchuk@example.net
Литвиненко,Оксана,Дмитрівна,Жіноча,01.12.2000,Візажист,хутір Ізмаїл,"проспект Самодіяльна, буд. 9, Буча, 54218",072 469-56-26,sviatoslavderevianko@example.com
Тарасенко,Іван,Іванович,Чоловіча,13.10.1968,Ріелтор,селище Ізяслав,"провулок Ананьївська, буд. 6 кв. 578, Знам'янка, 43753",+380 (85) 619-35-66,ovcharenkoherman@example.com
Носенко,Анна,Олександрівна,Жіноча,03.01.1994,Соціолог,селище Дунаївці,"набережна Літературна, буд. 494 кв. 0, Буча, 92205",+380 25 073 86 98,hlib59@example.com
Гаврюшенко,Олена,Олександрівна,Жіноча,02.07.1983,Актор,хутір Винники,"сквер Водопровідна, буд. 99 кв. 8, Долинська, 86180",+380 (89) 941-75-92,uiemelianenko@example.com
Цимбал,Олександр,Олександрович,Чоловіча,19.03.1939,Стоматолог,хутір Добропілля,"проспект Міцкевича, буд. 3 кв. 986, Чуднів, 95398",+380 (97) 036-15-09,rubetsillia@example.org
Жадан,Андрій,Сергійович,Чоловіча,08.11.1992,Візажист,місто Прилуки,"сквер Садова 1-ша, буд. 644 кв. 4, Мелітополь, 40657",043 911-11-49,heorhiiriabchenko@example.com
Радченко,Олександр,Олександрович,Чоловіча,13.06.1999,Громадський діяч,селище Сіверськодонецьк,"провулок Кладовищний, буд. 5 кв. 640, Інкерман, 29978",+380 04 587-52-71,ielysaveta37@example.net
Худобʼяк,Володимир,Андрійович,Чоловіча,13.09.1994,Конструктор,селище Берислав,"узвіз Китобійна, буд. 52, Великі Мости, 64625",+380 46 424 89 79,alevtyn03@example.net
Байда,Василь,Дмитрович,Чоловіча,16.03.1952,Пілот,село Шахтарське,"шосе Сегедська, буд. 940 кв. 7, Камінь-Каширський, 85679",043 619-35-55,danna09@example.com
Жук,Михайло,Сергійович,Чоловіча,04.11.1952,Модель,хутір Миколаїв,"набережна Дачний 2-й, буд. 106 кв. 58, Тараща, 16131",048 721-89-21,iaryna64@example.net
Асаула,Анна,Василівна,Жіноча,16.08.1956,Паралегал,місто Звенигородка,"провулок Амундсена, 1-й, буд. 65 кв. 820, Шепетівка, 47943",+380 34 713-46-26,kozachenkotrokhym@example.org
Акуленко,Олександр,Іванович,Чоловіча,04.10.1997,Публіцист,хутір Токмак,"парк Гранатна, буд. 7, Горлівка, 09565",069 605-87-77,davydpavlyk@example.com
Аверченко,Ірина,Петрівна,Жіноча,28.10.1954,Складальник,хутір Білогірськ,"площа Кузнечна, буд. 860 кв. 576, Тернопіль, 08807",006 133-31-93,anzhelafastenko@example.com
Нестайко,Володимир,Васильович,Чоловіча,24.09.1958,Ботанік,хутір Белз,"набережна Вертелецького, буд. 2 кв. 1, Сімферополь, 39856",+380 75 366-51-94,symonprotsenko@example.com
Заєць,Дмитро,Михайлович,Чоловіча,29.09.1966,Піаніст,хутір Бахчисарай,"проспект Віри Інбер, буд. 702 кв. 488, Городенка, 11411",219 23 67,zabashtahanna@example.org
Архипенко,Марія,Дмитрівна,Жіноча,17.05.2006,Слідчий,селище Євпаторія,"провулок Миколи Плигуна, буд. 946, Яремче, 85487",034 834 84 21,leon99@example.org
Голик,Юлія,Дмитрівна,Жіноча,16.09.1949,Біолог,село Обухів,"набережна Педагогічна, буд. 78 кв. 6, Виноградів, 54137",005 987-82-13,irynachumachenko@example.net
Саєнко,Михайло,Сергійович,Чоловіча,10.02.1951,Живописець,село Валки,"узвіз Юрія Яновського, буд. 472 кв. 633, Зоринськ, 91862",452-11-05,bohdan96@example.net
Сірко,Андрій,Михайлович,Чоловіча,17.06.1966,Ветеринар,селище Березівка,"узвіз Рєпіна, буд. 1 кв. 300, Бердичів, 52420",+380 52 759-08-39,nestor91@example.org
Колісниченко,Наталія,Сергіївна,Жіноча,11.10.1951,Краєзнавець,селище Рогатин,"шосе Лінія 37-ма, буд. 1, Миронівка, 70139",+380 50 543-54-37,mazurfedir@example.com
Пустовіт,Іван,Андрійович,Чоловіча,27.06.1987,Стиліст,хутір Тернівка,"узвіз Амундсена, 1-й, буд. 886, Волноваха, 75596",+380 39 909-40-93,rhuzenko@example.com
Калениченко,Ірина,Андріївна,Жіноча,24.06.1945,Мінералог,місто Чоп,"проспект Студентський 5-й, буд. 59 кв. 49, Чорнобиль, 09799",+380 85 368 20 74,klavdiiaskopenko@example.net
Парасюк,Ірина,Олександрівна,Жіноча,05.04.1983,Єгер,хутір Новоукраїнка,"набережна Соні Делоне, буд. 9, Шостка, 33393",419 39 86,revamykhailyna@example.net
Цюцюра,Віктор,Сергійович,Чоловіча,30.05.1972,Архітектор,селище Сокиряни,"вулиця 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 170 кв. 81, Кам'янка-Дніпровська, 24146",+380 26 721 25 21,stefan79@example.net
Байрак,Іван,Дмитрович,Чоловіча,23.11.1955,Кінокритик,селище Сквира,"провулок Отонівський, буд. 237, Болград, 69588",000 857-88-48,valentynaumanets@example.net
Ґерета,Тетяна,Михайлівна,Жіноча,09.01.2008,Мистецтвознавець,хутір Звенигородка,"вулиця Заводська, буд. 994 кв. 062, Кобеляки, 13599",001 711-59-70,edytatkachenko@example.org
Килимник,Катерина,Олександрівна,Жіноча,29.09.1969,Хімік,місто Галич,"площа Кузнечна, буд. 28, Міусинськ, 47904",+380 82 498-49-28,vdovenkoedyta@example.com
Цимбалюк,Дмитро,Олександрович,Чоловіча,27.10.1940,Няня,селище Дубляни,"парк Східчастий 4-й, буд. 13, Лебедин, 30203",+380 99 570-91-83,vriabets@example.net
Мамчур,Михайло,Олександрович,Чоловіча,12.11.2004,Пекар,хутір Бахмут,"сквер Радіальна, буд. 2, Кропивницький, 55498",047 177 78 54,hutsuliakzorian@example.org
Ватаманюк,Олександр,Дмитрович,Чоловіча,09.09.1969,Епідеміолог,селище Південне,"площа Новобазарний, буд. 962 кв. 27, Хоростків, 59291",256-34-08,makar95@example.net
Дробʼязко,Михайло,Олександрович,Чоловіча,02.11.1975,Музичний редактор,селище Марганець,"проспект Вірського, буд. 4, Барвінкове, 58411",+380 (64) 224-39-86,suprunenkoleon@example.org
Цісик,Дмитро,Олександрович,Чоловіча,03.04.1972,Детектив,місто Дубляни,"провулок Хімічний 1-й, буд. 27 кв. 85, Пологи, 63609",+380 (74) 450-75-42,anzhelaizhak@example.com
Слюсар,Михайло,Петрович,Чоловіча,08.03.1984,Диригент,місто Підгородне,"провулок Училищна, буд. 1 кв. 367, Зборів, 40734",779-90-45,iustynakozachenko@example.com
Ващенко-Захарченко,Ірина,Михайлівна,Жіноча,17.01.1993,Графік,місто Ланівці,"провулок Тепла, буд. 3 кв. 950, Малин, 71357",+380 (52) 992-69-51,arkadiiieresko@example.net
Матяш,Дмитро,Петрович,Чоловіча,26.09.1995,Професор,село Чернігів,"шосе Гетьманський, буд. 23 кв. 6, Хутір-Михайлівський, 95041",382 68 17,gmykhaliuk@example.com
Ільченко,Світлана,Дмитрівна,Жіноча,01.07.1967,Будник,селище Овруч,"вулиця Бондарна, буд. 631, Монастириська, 61444",+380 05 909-11-29,parmenshapoval@example.com
Симоненко,Володимир,Михайлович,Чоловіча,04.11.1951,Краєзнавець,місто Батурин,"площа Олександра Білостінного, буд. 92, Рогатин, 36492",+380 01 802 92 64,okseniialutsenko@example.org
Чекалюк,Марія,Андріївна,Жіноча,14.08.1941,Стиліст,селище Карлівка,"проспект Сонячна, буд. 942 кв. 3, Херсон, 33779",124-61-35,danhutsuliak@example.org
Матяш,Андрій,Олександрович,Чоловіча,26.11.1959,Програміст,місто Чугуїв,"шосе Зелена, буд. 38 кв. 928, Слов'янськ, 35491",055 014-63-33,oksana91@example.com
Гавришкевич,Марія,Дмитрівна,Жіноча,29.11.1968,Агроном,хутір Баранівка,"узвіз Проїзний 1-й, буд. 459, Андрушівка, 33212",589 11 62,wkozak@example.com
Чміль,Олена,Іванівна,Жіноча,24.05.1970,Акушер,хутір Татарбунари,"провулок Фруктова, буд. 656 кв. 6, Ічня, 80971",+380 11 099 80 93,labademian@example.com
Верховинець,Андрій,Петрович,Чоловіча,19.05.1966,Дизайнер,село Виноградів,"проспект Полуничний, буд. 439, Кальміуське, 82531",508-28-87,kiaremko@example.org
Артимович,Анна,Андріївна,Жіноча,24.08.1969,Патологоанатом,місто Нікополь,"шосе Азовський, буд. 1, Угнів, 02602",023 984 66 74,ggereta@example.net
Яременко,Михайло,Сергійович,Чоловіча,24.02.2008,Кінорежисер,село Переяслав,"узвіз 12-та ст. Великого Фонтану пляж, буд. 186, Оріхів, 13320",054 453 05 51,demianchukiustym@example.com
Оробець,Олександр,Олександрович,Чоловіча,30.09.1964,Прокурор,село Дрогобич,"узвіз Моторна, буд. 74 кв. 45, Таврійськ, 94009",+380 43 006-17-19,uievdokymenko@example.org
Терещук,Анна,Петрівна,Жіноча,25.10.1975,Краєзнавець,село Кам'янка (Черкаська область),"провулок Чумацька, буд. 32, Іллінці, 17339",+380 (94) 431-70-08,mykyta18@example.com
Юхименко,Віктор,Іванович,Чоловіча,27.12.1944,Фрілансер,хутір Шпола,"узвіз Ференца Ліста, буд. 18 кв. 09, Богодухів, 28696",094 897 58 82,sdubyna@example.net
Власенко,Дмитро,Михайлович,Чоловіча,07.08.1974,Кухар,село Мукачево,"узвіз Лінія 32-га, буд. 27 кв. 48, Єнакієве, 49861",384-74-71,anzhelakorolenko@example.org
Євтушенко,Віктор,Васильович,Чоловіча,27.07.2006,Парфюмер,селище Перемишляни,"вулиця Вчительської, 2-й, буд. 64, Яготин, 16048",+380 75 261-60-62,kteslenko@example.org
Байрак,Анна,Петрівна,Жіноча,25.11.1964,Антрополог,село Глобине,"провулок Зої Бутенко, буд. 15, Берислав, 76824",+380 37 067-85-97,kyrylo90@example.com
Бгиденко,Михайло,Васильович,Чоловіча,15.08.1954,Ботанік,хутір Тульчин,"шосе Дігтярна, буд. 71 кв. 03, Чорнобиль, 40460",+380 (64) 922-85-02,ikolisnychenko@example.org
Дараган,Наталія,Олександрівна,Жіноча,15.03.1985,Менеджер,село Чорнобиль,"парк Наявний 2-й, буд. 5 кв. 43, Сквира, 51270",562 46 51,viktorpetrenko@example.com
Сагаль,Андрій,Дмитрович,Чоловіча,12.03.1987,Художник,місто Коростень,"вулиця Соні Делоне, буд. 20, Щастя, 51921",062 299 11 43,oksanasomko@example.com
Чумаченко,Олександр,Михайлович,Чоловіча,20.05.1956,Мікробіолог,хутір Конотоп,"провулок Алмазна, буд. 744 кв. 8, Багачеве, 93561",005 610-77-92,leopoldshtepa@example.net
Архимович,Олена,Олександрівна,Жіноча,10.09.1985,Петрограф,село Борщів,"вулиця Йосипа Фішера, буд. 439, Попасна, 53474",+380 84 408 41 37,demyd81@example.org
Наливайко,Наталія,Дмитрівна,Жіноча,04.11.1979,Фермер,місто Монастирище,"парк Олександра Білостінного, буд. 49, Переяслав, 79721",001 370 82 96,bzinchenko@example.com
Жайворон,Михайло,Іванович,Чоловіча,26.05.1955,Намотувальник,село Шахтарськ,"парк Шовкуненка, буд. 63, Радехів, 60040",+380 59 302-68-64,miurchuk@example.net
Василевич,Сергій,Іванович,Чоловіча,22.08.1957,Конструктор,місто Долинська,"площа Лучиста, буд. 0, Дунаївці, 26291",047 059 06 36,arkadiibazylevych@example.org
Дуплій,Віктор,Іванович,Чоловіча,10.05.1978,Флорист,хутір Павлоград,"шосе Цукровий, буд. 18, Єнакієве, 34552",+380 95 578 21 11,semen81@example.org
Орлик,Тетяна,Андріївна,Жіноча,25.09.1972,Економіст,село Новогродівка,"площа Баринштейна, буд. 86, Золочів, 54010",099 247 83 90,ievhen72@example.org
Дашенко,Володимир,Андрійович,Чоловіча,23.03.2004,Кур'єр,селище Нововолинськ,"площа Танкерна, буд. 65, Нововолинськ, 81472",+380 95 011-72-90,ilchenkovalentyna@example.net
Яценюк,Олена,Андріївна,Жіноча,17.07.2002,Круп'є,селище Надвірна,"вулиця 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Міусинськ, 02704",+380 (48) 670-12-67,tgerega@example.org
Петренко,Сергій,Дмитрович,Чоловіча,31.05.1989,Астроном,місто Рені,"шосе Станційна 3-тя, буд. 706 кв. 783, Шостка, 06181",005 951-33-91,vasylyna12@example.com
Фесенко,Світлана,Андріївна,Жіноча,26.10.1978,Клоун,селище Коломия,"узвіз Макова, буд. 91, Білицьке, 24232",+380 51 691-20-20,ivankalchenko@example.org
Усик,Василь,Дмитрович,Чоловіча,20.05.1956,Палеонтолог,хутір Карлівка,"провулок Пересипська 8-ма, буд. 7 кв. 244, Отаманівка, 75645",069 730 08 65,serhii27@example.net
Василевич,Сергій,Дмитрович,Чоловіча,03.06.2004,Журналіст,хутір Чорноморськ,"парк Тетяни Тесс, буд. 022 кв. 49, Чоп, 76238",840 71 80,boleslavdzhus@example.com
Карпа,Андрій,Олександрович,Чоловіча,15.12.1996,Круп'є,селище Новомиргород,"узвіз Бориса Дерев'янка, буд. 938, Білогірськ, 14504",+380 15 065 54 99,sirkotrokhym@example.org
Ільченко,Тетяна,Андріївна,Жіноча,11.02.1971,Мовознавець,хутір Підгородне,"узвіз Овідіопольська дуга, буд. 779, Кам'янка-Дніпровська, 37049",475-32-73,dubynapriska@example.org
Заїка,Василь,Васильович,Чоловіча,15.01.1968,Дизайнер,село Умань,"шосе Мирна, буд. 115 кв. 68, Біла Церква, 66213",+380 (38) 834-46-82,demianiukiosyp@example.net
Рябошапка,Юлія,Василівна,Жіноча,17.09.1991,Маркетолог,хутір Запоріжжя,"провулок Бугаївська, буд. 078, Южне, 87743",+380 67 995-84-13,mariia88@example.org
Мірошниченко,Володимир,Дмитрович,Чоловіча,22.12.2007,Доцент,місто Вінниця,"вулиця Тополина, буд. 02, Голубівка, 83649",+380 80 167-98-38,valentyndemianchuk@example.org
Ященко,Олександр,Васильович,Чоловіча,04.02.1976,Письменник,хутір Красноперекопськ,"вулиця Рекордний, буд. 4 кв. 282, Українка, 13831",067 541 71 32,herman98@example.com
Цушко,Петро,Іванович,Чоловіча,26.04.1961,Клавішник,селище Кам'янка-Дніпровська,"площа Чорноморський 6-й, буд. 10, Оріхів, 88702",141-00-41,zpoltavets@example.net
Єфименко,Олександр,Дмитрович,Чоловіча,22.12.2003,Ґрунтознавець,селище Глиняни,"сквер Академіка Філатова, буд. 59 кв. 23, Балта, 45790",855 38 33,volodymyr69@example.org
Заєць,Володимир,Михайлович,Чоловіча,05.03.1970,Антрополог,місто Березівка,"набережна Василя Кандинського 4-й, буд. 897 кв. 47, Новий Розділ, 78766",196 06 17,liubov77@example.net
Деревʼянко,Володимир,Сергійович,Чоловіча,20.02.1983,Мікробіолог,селище Козятин,"провулок Михайла Жука, буд. 487 кв. 424, Сторожинець, 35448",+380 66 995-88-56,riaboshapkaalbina@example.com
Конопленко,Ірина,Андріївна,Жіноча,21.11.1978,Археолог,місто Гребінка,"шосе Ключовий 1-й, буд. 103, Старокостянтинів, 41227",870 75 11,nkanivets@example.com
Чумаченко,Олена,Дмитрівна,Жіноча,20.05.1965,Модельєр,місто Миронівка,"сквер Олешківська, буд. 887, Очаків, 36986",+380 74 632 78 45,kiurchuk@example.com
Бандурка,Михайло,Іванович,Чоловіча,23.07.1990,Сценарист,місто Голубівка,"проспект Деревообробна, буд. 56 кв. 052, Коростишів, 16786",+380 79 979 36 72,lmiroshnychenko@example.net
Свириденко,Анна,Дмитрівна,Жіноча,13.06.1957,Музичний редактор,селище Калинівка,"проспект Топольського, буд. 211, Ходорів, 33121",044 840 50 78,ipelekh@example.org
Каденюк,Іван,Андрійович,Чоловіча,03.07.1946,Фотограф,місто Липовець,"набережна Яблунева, буд. 7 кв. 49, Тальне, 54032",+380 (18) 004-40-47,balabanostap@example.org
Бабенко,Андрій,Андрійович,Чоловіча,01.08.1986,Дерун,село Глухів,"набережна 11-та ст. Великого Фонтану пляж, буд. 504, Буринь, 87410",+380 (76) 252-11-93,lsyrotenko@example.org
Бабариченко,Світлана,Василівна,Жіноча,01.02.1947,Прокурор,місто Долинська,"площа Чехівського, буд. 3, Златопіль, 55923",+380 22 848-10-14,zakhar80@example.net
Єрьоменко,Сергій,Васильович,Чоловіча,05.09.1983,Зоолог,місто Тиврів,"сквер Новопланівська, буд. 12 кв. 80, Турка, 32462",772-98-82,larysa26@example.net
Данченко,Іван,Дмитрович,Чоловіча,22.02.1992,Агроном,місто Хрустальний,"провулок Миколи Костомарова, буд. 910, Зміїв, 21186",+380 (41) 474-01-09,anastasiiadrozdenko@example.org
Лазаренко,Наталія,Михайлівна,Жіноча,07.04.1957,Петрограф,місто Джанкой,"набережна Соляний 7-й, буд. 7, Люботин, 59933",424 21 59,orysia92@example.net
Фесенко,Іван,Іванович,Чоловіча,07.08.1971,Астрофізик,місто Зеленодольськ,"вулиця Заньковецької, буд. 368, Ялта, 38732",+380 99 090-95-49,alina51@example.com
Прокопович,Андрій,Сергійович,Чоловіча,04.07.1961,Будник,місто Сіверськодонецьк,"сквер Аптекарський, буд. 6 кв. 77, Брянка, 93892",039 887 20 15,borys82@example.net
Єрьоменко,Василь,Петрович,Чоловіча,27.07.1982,Науковець,хутір Бережани,"узвіз Пшенична, буд. 3 кв. 9, Тульчин, 94408",987-63-72,iandriienko@example.org
Пʼятаченко,Михайло,Іванович,Чоловіча,07.02.2004,Випробувач,селище Комарно,"набережна Рози вітрів, буд. 3 кв. 221, Андрушівка, 40078",872 64 35,tkachenkoodarka@example.com
Шеремета,Дмитро,Дмитрович,Чоловіча,25.02.1981,Економіст,місто Бердичів,"шосе Прохоровський, буд. 7, Кам'янське, 91376",021 862 19 62,qchernenko@example.com
Смик,Оксана,Михайлівна,Жіноча,08.04.2005,Географ,хутір Христинівка,"площа Заводська 3-тя, буд. 866, Славутич, 87228",089 760 70 49,dmytroshakhrai@example.net
Влох,Андрій,Васильович,Чоловіча,13.06.1996,Акушер,селище Бар,"провулок Незалежності, буд. 276 кв. 8, Рівне, 05033",+380 (51) 990-98-76,alinasirko@example.net
Цюпа,Олена,Олександрівна,Жіноча,16.07.1980,Вчитель,хутір Белз,"узвіз Супутників, буд. 5 кв. 216, Мелітополь, 62506",+380 (44) 888-11-22,levko34@example.com
Лупій,Петро,Петрович,Чоловіча,09.05.1977,Бібліотекар,хутір Охтирка,"вулиця Бессарабська, буд. 5 кв. 8, Заставна, 22197",+380 04 046-64-42,zshukhevych@example.com
Чуприна,Сергій,Васильович,Чоловіча,01.05.1958,Астронавт,селище Бердичів,"провулок Ремонтна, буд. 1, Батурин, 50117",882 13 47,qsirko@example.net
Жадан,Василь,Сергійович,Чоловіча,11.08.1964,Кур'єр,селище Тлумач,"шосе Інглезі, буд. 91, Жидачів, 94646",+380 87 628-32-23,myroslav95@example.net
Демʼянюк,Олександр,Михайлович,Чоловіча,23.05.2000,Машиніст,село Волочиськ,"вулиця Газовий, буд. 24 кв. 07, Докучаєвськ, 24818",699-89-85,ivasiuksvitlana@example.org
Кабаненко,Дмитро,Михайлович,Чоловіча,06.06.1953,Драматург,село Дубровиця,"шосе Шевченка, буд. 0, Феодосія, 98587",635-32-69,riashchuk@example.net
Батюк,Оксана,Михайлівна,Жіноча,22.01.1992,Юрист,місто Сміла,"площа Джерельна, буд. 143 кв. 816, Красногорівка, 42047",018 812 72 65,kbabenko@example.com
Рудько,Марія,Михайлівна,Жіноча,23.11.1982,Гінеколог,селище Пустомити,"узвіз Пресича Олександра, буд. 140, Гірник, 16329",358-32-47,spas41@example.com
Рябовіл,Оксана,Дмитрівна,Жіноча,01.01.1974,Музикант,село Ржищів,"площа Яружний, буд. 9, Інкерман, 52357",075 142-70-51,azar43@example.org
Василашко,Юлія,Петрівна,Жіноча,04.05.1958,Піаніст,селище Новоукраїнка,"проспект Головківська, буд. 0 кв. 62, Хотин, 32394",+380 45 848 76 58,isomko@example.org
Атаманюк,Андрій,Іванович,Чоловіча,09.02.1993,Фольклорист,селище Прилуки,"узвіз Лиманчик 2-й Лінія 2-га, буд. 393, Єнакієве, 62640",+380 69 353-76-69,paliimykyta@example.com
Єсипенко,Віктор,Сергійович,Чоловіча,14.12.1979,Медик,хутір Снігурівка,"вулиця Стражеска Миколи, буд. 6, Виноградів, 34845",800 52 46,orkhypkomar@example.net
Гузенко,Анна,Андріївна,Жіноча,09.07.1967,Диригент,селище Алушта,"площа Урожайна, буд. 30 кв. 3, Тульчин, 50823",+380 38 108-51-12,azar43@example.org
Яценюк,Сергій,Іванович,Чоловіча,18.09.2007,Модель,місто Кременець,"узвіз Кафедральна, буд. 794, Новомиргород, 12399",021 044-89-80,karpenkopanteleimon@example.net
Матяш,Ірина,Андріївна,Жіноча,20.11.1958,Євнух,місто Попасна,"вулиця Республіканська, буд. 059 кв. 5, Миргород, 66719",022 356-54-31,hiesypenko@example.org
Ребрик,Василь,Сергійович,Чоловіча,06.02.1966,Швачка,село Дубровиця,"площа Авіаційна, буд. 10, Харцизьк, 38527",053 466-39-92,valerii50@example.com
Оніщук,Василь,Олександрович,Чоловіча,14.03.1953,Прокурор,село Глобине,"шосе Лінія 35-та, буд. 7, Батурин, 63757",+380 (48) 013-07-82,viktorvashchuk@example.com
Цісик,Василь,Михайлович,Чоловіча,05.10.1942,Етнограф,місто Тячів,"вулиця Заводська, буд. 6 кв. 70, Чугуїв, 88152",811 72 85,boryslav01@example.net
Дутка,Олександр,Петрович,Чоловіча,20.07.1949,Вчитель,хутір Глухів,"провулок Інглезі, буд. 0 кв. 27, Миколаїв, 82010",+380 (05) 138-62-29,bohuslava26@example.com
Щириця,Наталія,Іванівна,Жіноча,14.06.1945,Піаніст,село Дубно,"проспект Локомотивний 2-й, буд. 2 кв. 707, Ромни, 06529",018 170 29 48,boleslavnehoda@example.com
Данилюк,Сергій,Михайлович,Чоловіча,27.09.1968,Хореограф,село Герца,"парк Дмитра Іванова, буд. 32 кв. 286, Снігурівка, 46732",+380 (02) 891-09-71,dprymachenko@example.com
Гук,Тетяна,Сергіївна,Жіноча,27.12.1942,Економіст,місто Херсон,"вулиця Офіцерський 2-й, буд. 25, Ясинувата, 83567",+380 62 578-63-87,xbaida@example.net
Щербань,Віктор,Петрович,Чоловіча,01.05.1996,Мистецтвознавець,селище Новоград-Волинський,"площа Агрономічний, буд. 374 кв. 974, Умань, 70619",417-49-95,ypetryk@example.org
Шахрай,Сергій,Михайлович,Чоловіча,15.12.1973,Фермер,хутір Сватове,"провулок Дюківська, буд. 93 кв. 145, Чугуїв, 42194",305 66 03,ovsiienkozynovii@example.org
Чумаченко,Михайло,Дмитрович,Чоловіча,15.09.1981,Реставратор,хутір Хмельницький,"сквер Рівності 1-й, буд. 53, Кипуче, 02135",+380 35 543-21-00,liudmylabaidak@example.net
Дзиндра,Андрій,Андрійович,Чоловіча,12.07.1940,Актор,хутір Шостка,"сквер Садова 6-та, буд. 30, Шаргород, 26355",+380 (77) 310-64-11,amvrosiikovpak@example.net
Асаула,Анна,Михайлівна,Жіноча,16.06.1945,Режисер,селище Скалат,"проспект Трудова, буд. 025 кв. 679, Любомль, 77642",+380 83 872-14-10,viktor56@example.com
Литвин,Світлана,Петрівна,Жіноча,24.03.1997,Музичний редактор,місто Дніпрорудне,"шосе Лінія 29-та, буд. 868, Горлівка, 64638",044 487 89 74,mrak@example.net
Яременко,Дмитро,Іванович,Чоловіча,10.07.1983,Фотограф,село Гадяч,"сквер Аркаса Миколи, буд. 846, Южноукраїнськ, 20207",+380 91 649 82 82,ngzhytska@example.net
Шинкаренко,Ірина,Сергіївна,Жіноча,04.08.1972,Зоолог,місто Бердичів,"площа Добровольців, буд. 758 кв. 0, Новий Калинів, 02037",064 232-27-71,korzhkhrystyna@example.net
Шеремет,Михайло,Сергійович,Чоловіча,27.04.1980,Мікробіолог,місто Старобільськ,"парк Сергія Коновалова, буд. 107 кв. 581, Теребовля, 59472",148-50-88,erikasmyk@example.com
